name,hex,r,g,b,h,s,v
dark brown-tangelo,88654e,136,101,78,24,43,53
dark cerulean,08457e,8,69,126,209,94,49
dark cornflower blue,26428b,38,66,139,223,73,55
dark cyan,008b8b,0,139,139,180,100,55
dark green,013220,1,50,32,158,98,20
dark gunmetal,1f262a,31,38,42,202,26,16
dark imperial blue,00416a,0,65,106,203,100,42
dark jungle green,1a2421,26,36,33,162,28,14
dark lemon lime,8bbe1b,139,190,27,79,86,75
dark magenta,8b008b,139,0,139,300,100,55
dark midnight blue,003366,0,51,102,210,100,40
dark moss green,4a5d23,74,93,35,80,62,36
dark pastel blue,779ecb,119,158,203,212,41,80
dark pastel green,03c03c,3,192,60,138,98,75
dark pastel purple,966fd6,150,111,214,263,48,84
dark pastel red,c23b22,194,59,34,9,82,76
dark pink,e75480,231,84,128,342,64,91
dark powder blue,003399,0,51,153,220,100,60
dark puce,4f3a3c,79,58,60,354,27,31
dark purple,301934,48,25,52,291,51,20
dark sea green,8fbc8f,143,188,143,120,24,74
dark sienna,3c1414,60,20,20,0,67,24
dark sky blue,8cbed6,140,190,214,199,35,84
dark slate blue,483d8b,72,61,139,248,56,55
dark slate gray,2f4f4f,47,79,79,180,41,31
dark spring green,177245,23,114,69,150,80,45
dark tangerine,ffa812,255,168,18,38,93,100
dark taupe,483c32,72,60,50,27,31,28
dark terra cotta,cc4e5c,204,78,92,353,62,80
dark yellow,9b870c,155,135,12,52,92,61
dartmouth green,00703c,0,112,60,152,100,44
shades of gray#davy's gray,555555,85,85,85,—,0,33
debian red,d70a53,215,10,83,339,95,84
deep carrot orange,e9692c,233,105,44,19,81,91
deep green,056608,5,102,8,122,95,40
deep green-cyan turquoise,0e7c61,14,124,97,165,89,49
deep jungle green,004b49,0,75,73,178,100,29
deep magenta,cc00cc,204,0,204,300,100,80
deep moss green,355e3b,53,94,59,129,44,37
deep pink,ff1493,255,20,147,328,92,100
deep puce,a95c68,169,92,104,351,46,66
deep red,850101,133,1,1,0,99,52
deep sky blue,00bfff,0,191,255,195,100,100
deep space sparkle,4a646c,74,100,108,194,31,42
deep spring bud,556b2f,85,107,47,82,56,42
deep taupe,7e5e60,126,94,96,356,25,49
deep tuscan red,66424d,102,66,77,342,35,40
deer,ba8759,186,135,89,28,52,73
denim,1560bd,21,96,189,213,89,74
denim blue,2243b6,34,67,182,227,81,71
desaturated cyan,669999,102,153,153,180,33,60
desire,ea3c53,234,60,83,352,74,92
diamond,b9f2ff,185,242,255,191,27,100
dim gray,696969,105,105,105,—,0,41
dingy dungeon,c53151,197,49,81,347,75,77
dirt,9b7653,155,118,83,29,46,61
dirty brown,b5651e,181,101,30,28,83,71
dirty white,e8e4c9,232,228,201,52,13,91
dodger blue,1e90ff,30,144,255,210,88,100
dodie yellow,fef65b,254,246,91,57,64,100
dollar bill,85bb65,133,187,101,98,46,73
dolphin gray,828e84,130,142,132,130,8,56
donkey brown,664c28,102,76,40,35,61,40
duke blue,00009c,0,0,156,240,100,61
dust storm,e5ccc9,229,204,201,6,12,90
dutch white,efdfbb,239,223,187,42,22,94
earthtone,5d3a1a,93,58,26,29,72,36
ecru,c2b280,194,178,128,45,34,76
eerie black,1b1b1b,27,27,27,—,0,11
egyptian blue,1034a6,16,52,166,226,90,65
electric brown,b56257,181,98,87,8,52,71
electric crimson,ff003f,255,0,63,345,100,100
electric cyan,00ffff,0,255,255,180,100,100
electric green,00ff00,0,255,0,120,100,100
electric indigo,6f00ff,111,0,255,266,100,100
electric orange,ff3503,255,53,3,12,99,100
electric pink,f62681,246,38,129,334,85,96
electric purple,bf00ff,191,0,255,285,100,100
electric red,e60000,230,0,0,0,100,90
electric ultramarine,3f00ff,63,0,255,255,100,100
electric violet,8f00ff,143,0,255,274,100,100
electric yellow,ffff33,255,255,51,60,80,100
emerald,50c878,80,200,120,140,60,78
eminence,6c3082,108,48,130,284,63,51
english green,1b4d3e,27,77,62,162,65,30
english vermillion,cc474b,204,71,75,358,65,80
english violet,563c5c,86,60,92,289,35,36
eton blue,96c8a2,150,200,162,134,25,78
eucalyptus,44d7a8,68,215,168,161,68,84
facebook blue,39569c,57,86,156,222,63,61
falu red,801818,128,24,24,0,81,50
